사투리,표준어
가이도,그 아이도
뭐인?,뭐 있어?
해주네.,해주잖아.
해주네.,해주잖아.
긴가.,그런가.
사견?,사겼어?
안해줜.,안해줬어.
내네,나잖아.
가이도,그 아이도
줬댄?,줬대?
안줬댄.,안줬대.
가이를,그 아이를
가이도.,그 아이도.
어신디.,없는데.
닮은디.,닮은데.
바꿘.,바꿨어.
막 ,많이
막,많이
바꿘?,바꿨어?
바꿔봐신디,바꿔보았는데
바꿔신디,바꿨는데
막,자꾸
데려가신디,데려갔는데
찍언.,찍었어.
간.,갔어.
어신디,없는데
줜.,줬어.
핸?,했어?
작댄,작대
못한댄.,못한대.
막,자꾸
그래신가?,그랬던건가?
인.,있어.
않안.,않았어.
멕이다,먹이다
멕여가지고,먹여가지고
인.,있어.
해신디,했는데
핸.,했어.
쪼크맣댄.,조그맣대.
야이는,이 아이는
막,자꾸
긴가?,그런가?
닮.,닮아.
인?,있어?
인.,있어.
모르클.,모르겠어.
받안.,받았어.
이신가?,있을까?
싶은디 ,싶은데
먹게.,먹자.
사준댄,사준대
말하클.,말할게.
싶은디.,싶은데.
보래메.,보라며.
안?,않아?
무섭지안?,무섭지 않아?
낫지안?,낫지않아?
알고인.,알고있어.
언.,없어.
난리랜.,난리래.
개어이언.,개어이없어.
거,그거
가게.,가자.
않지안?,않지 않아?
생,모양이야
늙어버련.,늙어버렸어.
먹어봔?,먹어봤어?
없어져인.,없어져 있어.
살찔자락,살 찔정도로
먹지안?,먹지 않아?
닮.,닮아.
같지안?,같지 않아?
아팠언,아팠어.
않안.,않았어.
걍,그냥
찾안,찾았어
경행,그렇게 해서
눌러신디,눌렀는데
자지러젼?,쓰러졌어?
핸.,했어.
지,자기
식도염이랜.,식도염이래.
근디,근데
갔는디,갔는데
된댄.,된대.
봔.,봤어.
닮.,같아.
돌팔이랜.,돌팔이래.
핸,했어
겐디,그런데
언.,없어.
완.,왔어.
잘한댄.,잘한대.
있지안?,있지 않아?
하르방,할아버지
하르방,할아버지
하르방이,할아버지가
하르방,할아버지
기?,그래?
하르방,할아버지
하르방이,할아버지가
언.,없어.
긴가?,그런가?
하르방을,할아버지를
하르방,할아버지
가이,그 사람
맞게핸.,맞게 했어.
인.,있어.
가이,그 사람
인.,있어.
핸,했어
언.,없어.
빡쳔.,화났어.
맛간.,고장났어.
열받안.,열받았어.
잡혀있언.,잡혀있었어.
인.,있어.
겹질렀다겐디,겹질러다 인데
봐신디,봤는데
맞댄.,맞대.
사투리랜.,사투리래.
기구나.,그렇구나.
야이,이 아이
사투리래매?,사투리라며?
한댄.,한대.
들언,들었어
불렀는디,불렀는데
하네.,하잖아.
쓴댄.,쓴대.
뭐?,뭐야?
언.,없어.
건,그건
하네.,하잖아.
모른댄.,모른대.
인,있어
인.,있어.
요기,여기
인.,있어.
있지안?,있지 않아?
짧댄.,짧대.
기구나.,그렇구나.
아판?,아팠어?
이삿날이연.,이삿날이었어.
올거연,올 것이었어
잔.,잤어.
마션.,마셨어.
있언?,있었어?
잔?,잤어?
알안.,알았어.
핸.,했어.
어떵,어떻게
간.,갔어.
어떵,어떻게
가신디,갔는데
야이가,얘가
야이네랑,얘네랑
놀거연.,놀거였어.
인.,있어.
건,그건
거네.,거잖아.
않안.,않았어.
즐거운냥,즐거운 척
인.,있어.
아판?,아팠어?
아판.,아팠어.
인거닮.,인 것 같아.
간.,갔어.
미쳔.,미쳤어.
느껸.,느꼈어.
건강했네,건강했잖아.
모르겐,모르겠어
막.,자꾸.
막,자꾸
그러네.,그러잖아.
막,자꾸
앗아가네.,뺏어가잖아.
하네.,하잖아.
느낌있네.,느낌 있잖아.
있네.,있잖아.
않애.,않아.
했네.,했잖아.
언.,없어.
언?,없어?
없댄.,없대.
건강한거네.,건강한거잖아.
커졌언.,커졌었어.
인거닮,인 것 같아
핸,했어
않으션.,않으셨어
아판.,아팠어.
손칼국수여신디,손칼국수 였는데
장염이랜.,장염이래.
간.,갔어.
간.,갔어.
쪼끔,조금
찾안,찾았어
나안.,나았어.
맞춴.,맞췄어.
언.,없어.
막,자꾸
잔,잤어
닮.,같아.
막,자꾸
막,자꾸
요기가,여기가
막,자꾸
알안.,알았어.
같지안?,같지 않아?
나지안,나지않아
알안.,알았어.
막,자꾸
막,자꾸
닮.,같아.
그렇댄.,그렇대.
같애.,같아.
난댄.,난대.
